Name	SMILES	H298	S298	300 K	400 K	500 K	600 K	800 K	1000 K	1500 K	Comment
15-M-DFor	c1ccc(cc1C=O)C=O	-40.08	95.9625734167	35.44	43.48	50.36	56.06	64.9	70.5	76.02	Thermo group additivity estimation: group(Cb-(Cds-Od)) + other(1_formyl_m) + group(Cb-(Cds-Od)) + other(1_formyl_m) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Od-Cd) + other(R) + group(Od-Cd) + other(R) + ring(Benzene)
16-P-DFor	c1cc(ccc1C=O)C=O	-38.86	95.7425734167	35.48	43.58	50.48	56.2	65.02	70.58	76.0	Thermo group additivity estimation: group(Cb-(Cds-Od)) + other(1_formyl_p) + group(Cb-(Cds-Od)) + other(1_formyl_p) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Od-Cd) + other(R) + group(Od-Cd) + other(R) + ring(Benzene)
17-O-DVin	c1ccc(c(c1)C=C)C=C	52.6	96.5825734167	40.36	50.76	59.62	66.8	77.6	85.34	96.64	Thermo group additivity estimation: group(Cb-(Cds-Cds)) + other(1_vinyl_o_2_vinyl) + group(Cb-(Cds-Cds)) + other(1_vinyl_o_2_vinyl) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-CdsHH) + other(R) + group(Cds-CdsHH) + other(R) + ring(Benzene)
18-M-DVin	c1cc(cc(c1)C=C)C=C	50.66	97.1225734167	39.26	50.0	59.12	66.48	77.56	85.38	96.76	Thermo group additivity estimation: group(Cb-(Cds-Cds)) + other(1_vinyl) + group(Cb-(Cds-Cds)) + other(1_vinyl) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-CdsHH) + other(R) + group(Cds-CdsHH) + other(R) + ring(Benzene)
19-P-DVin	c1cc(ccc1C=C)C=C	50.66	97.1225734167	39.26	50.0	59.12	66.48	77.56	85.38	96.76	Thermo group additivity estimation: group(Cb-(Cds-Cds)) + other(1_vinyl) + group(Cb-(Cds-Cds)) + other(1_vinyl) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-CdsHH) + other(R) + group(Cds-CdsHH) + other(R) + ring(Benzene)
20-O-DMe	c1ccc(c(c1)C)C	4.82	84.2362344525	31.46	40.42	48.62	55.68	66.66	74.54	86.4	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cs-CbHHH) + other(R) + group(Cb-Cs) + other(1_Cs_o_2_Cs) + group(Cb-Cs) + other(1_Cs_o_2_Cs) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + ring(Benzene)
21-M-DMe	c1cc(cc(c1)C)C	3.82	85.8162344525	30.68	39.72	48.0	55.08	66.12	74.06	86.04	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cs-CbHHH) + other(R) + group(Cb-Cs) + other(1_Cs) + group(Cb-Cs) + other(1_Cs) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + ring(Benzene)
22-P-DMe	c1c(ccc(c1)C)C	3.82	85.8162344525	30.68	39.72	48.0	55.08	66.12	74.06	86.04	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cs-CbHHH) + other(R) + group(Cb-Cs) + other(1_Cs) + group(Cb-Cs) + other(1_Cs) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + ring(Benzene)
23-O-DEt	c1cccc(c1CC)CC	-4.9	102.916234453	43.14	55.64	66.58	75.7	89.64	99.62	113.92	Thermo group additivity estimation: group(Cs-CbCsHH) + other(R) + group(Cs-CbCsHH) + other(R) + group(Cs-CsHHH) + other(R) + group(Cs-CsHHH) + other(R) + group(Cb-Cs) + other(1_Cs_o_2_Cs) + group(Cb-Cs) + other(1_Cs_o_2_Cs) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + ring(Benzene)
24-M-DEt	c1c(cccc1CC)CC	-5.9	104.496234453	42.36	54.94	65.96	75.1	89.1	99.14	113.56	Thermo group additivity estimation: group(Cs-CbCsHH) + other(R) + group(Cs-CbCsHH) + other(R) + group(Cs-CsHHH) + other(R) + group(Cs-CsHHH) + other(R) + group(Cb-Cs) + other(1_Cs) + group(Cb-Cs) + other(1_Cs) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + ring(Benzene)
25-P-DEt	c1c(ccc(c1)CC)CC	-5.9	104.496234453	42.36	54.94	65.96	75.1	89.1	99.14	113.56	Thermo group additivity estimation: group(Cs-CbCsHH) + other(R) + group(Cs-CbCsHH) + other(R) + group(Cs-CsHHH) + other(R) + group(Cs-CsHHH) + other(R) + group(Cb-Cs) + other(1_Cs) + group(Cb-Cs) + other(1_Cs) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + ring(Benzene)
26-O-OHMeO	c1cccc(c1OC)O	-59.92	91.4068305179	34.0	44.04	52.21	58.7	68.41	74.57	83.56	Thermo group additivity estimation: group(Cs-OsHHH) + other(R) + group(Cb-Os) + other(1_methoxy) + group(Cb-Os) + other(1_OH_o_2_methoxy) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CsCb) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
27-M-OHMeO	c1(OC)cccc(c1)O	-59.2	92.7468305179	34.65	44.4	52.16	58.22	67.41	73.42	82.68	Thermo group additivity estimation: group(Cs-OsHHH) + other(R) + group(Cb-Os) + other(1_methoxy) + group(Cb-Os) + other(1_OH) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CsCb) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
28-P-OHMeO	c1cc(ccc1O)OC	-57.46	93.7068305179	35.06	44.5	51.97	57.81	66.86	72.87	82.27	Thermo group additivity estimation: group(Cs-OsHHH) + other(R) + group(Cb-Os) + other(1_methoxy) + group(Cb-Os) + other(1_OH_p_2_methoxy) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CsCb) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
29-O-OHFor	c1cccc(c1C=O)O	-59.36	85.53	29.71	38.15	45.29	51.02	59.69	65.33	72.51	Thermo group additivity estimation: group(Cb-(Cds-Od)) + other(1_formyl) + group(Cb-Os) + other(1_OH_o_2_formyl) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Os-CbH) + other(R) + group(Od-Cd) + other(R) + ring(Benzene)
30-M-OHFor	c1c(cccc1O)C=O	-52.81	90.62	32.2	40.3	47.06	52.45	60.5	65.66	72.08	Thermo group additivity estimation: group(Cb-(Cds-Od)) + other(1_formyl) + group(Cb-Os) + other(1_OH) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Os-CbH) + other(R) + group(Od-Cd) + other(R) + ring(Benzene)
31-P-OHFor	c1c(ccc(c1)O)C=O	-53.91	90.43	31.82	40.06	46.99	52.5	60.72	65.95	72.44	Thermo group additivity estimation: group(Cb-(Cds-Od)) + other(1_formyl) + group(Cb-Os) + other(1_OH_p_2_formyl) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Os-CbH) + other(R) + group(Od-Cd) + other(R) + ring(Benzene)
32-O-OHVin	c1cccc(c1C=C)O	-6.25	90.42	34.91	44.33	52.12	58.27	67.28	73.45	82.64	Thermo group additivity estimation: group(Cb-(Cds-Cds)) + other(1_vinyl_o_2_Os) + group(Cb-Os) + other(1_OH) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-CdsHH) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
33-M-OHVin	c1ccc(cc1O)C=C	-6.87	91.21	34.31	43.68	51.5	57.67	66.78	73.02	82.35	Thermo group additivity estimation: group(Cb-(Cds-Cds)) + other(1_vinyl) + group(Cb-Os) + other(1_OH) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-CdsHH) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
34-P-OHVin	c1c(ccc(c1)O)C=C	-6.87	91.21	34.31	43.68	51.5	57.67	66.78	73.02	82.35	Thermo group additivity estimation: group(Cb-(Cds-Cds)) + other(1_vinyl) + group(Cb-Os) + other(1_OH) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-CdsHH) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
35-O-OHMe	Oc1c(cccc1)C	-30.29	85.5568305179	30.02	38.54	45.94	51.97	61.06	67.36	76.99	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cb-Cs) + other(1_Cs) + group(Cb-Os) + other(1_OH) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
36-M-OHMe	Oc1cc(ccc1)C	-30.29	85.5568305179	30.02	38.54	45.94	51.97	61.06	67.36	76.99	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cb-Cs) + other(1_Cs) + group(Cb-Os) + other(1_OH) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
37-P-OHMe	c1c(ccc(c1)O)C	-30.29	85.5568305179	30.02	38.54	45.94	51.97	61.06	67.36	76.99	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cb-Cs) + other(1_Cs) + group(Cb-Os) + other(1_OH) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
38-O-OHEt	c1(ccccc1CC)O	-35.15	94.8968305179	35.86	46.15	54.92	61.98	72.55	79.9	90.75	Thermo group additivity estimation: group(Cs-CbCsHH) + other(R) + group(Cs-CsHHH) + other(R) + group(Cb-Cs) + other(1_Cs) + group(Cb-Os) + other(1_OH) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
39-M-OHEt	c1cc(cc(c1)CC)O	-35.15	94.8968305179	35.86	46.15	54.92	61.98	72.55	79.9	90.75	Thermo group additivity estimation: group(Cs-CbCsHH) + other(R) + group(Cs-CsHHH) + other(R) + group(Cb-Cs) + other(1_Cs) + group(Cb-Os) + other(1_OH) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
40-P-EtOH	c1cc(ccc1CC)O	-35.15	94.8968305179	35.86	46.15	54.92	61.98	72.55	79.9	90.75	Thermo group additivity estimation: group(Cs-CbCsHH) + other(R) + group(Cs-CsHHH) + other(R) + group(Cb-Cs) + other(1_Cs) + group(Cb-Os) + other(1_OH) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
41-O-MeOFor	c1cccc(c1C=O)OC	-45.72	99.0368305179	36.87	47.41	55.96	62.74	72.89	79.21	87.13	Thermo group additivity estimation: group(Cs-OsHHH) + other(R) + group(Cb-(Cds-Od)) + other(1_formyl) + group(Cb-Os) + other(1_methoxy_o_2_formyl) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Os-CsCb) + other(R) + group(Od-Cd) + other(R) + ring(Benzene)
42-M-MeOFor	c1(cc(ccc1)OC)C=O	-47.61	99.4468305179	37.49	47.34	55.34	61.81	71.91	78.42	86.82	Thermo group additivity estimation: group(Cs-OsHHH) + other(R) + group(Cb-(Cds-Od)) + other(1_formyl) + group(Cb-Os) + other(1_methoxy) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Os-CsCb) + other(R) + group(Od-Cd) + other(R) + ring(Benzene)
43-P-MeOFor	c1cc(ccc1OC)C=O	-48.71	99.2568305179	37.11	47.1	55.27	61.86	72.13	78.71	87.18	Thermo group additivity estimation: group(Cs-OsHHH) + other(R) + group(Cb-(Cds-Od)) + other(1_formyl) + group(Cb-Os) + other(1_methoxy_p_2_formyl) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Os-CsCb) + other(R) + group(Od-Cd) + other(R) + ring(Benzene)
44-O-MeOVin	c1cccc(c1OC)C=C	-1.05	99.2468305179	40.2	51.37	60.4	67.63	78.69	86.21	97.38	Thermo group additivity estimation: group(Cs-OsHHH) + other(R) + group(Cb-(Cds-Cds)) + other(1_vinyl_o_2_Os) + group(Cb-Os) + other(1_methoxy) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-CdsHH) + other(R) + group(Os-CsCb) + other(R) + ring(Benzene)
45-M-MeOVin	c1ccc(cc1OC)C=C	-1.67	100.036830518	39.6	50.72	59.78	67.03	78.19	85.78	97.09	Thermo group additivity estimation: group(Cs-OsHHH) + other(R) + group(Cb-(Cds-Cds)) + other(1_vinyl) + group(Cb-Os) + other(1_methoxy) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-CdsHH) + other(R) + group(Os-CsCb) + other(R) + ring(Benzene)
46-P-MeOVin	c1c(ccc(c1)OC)C=C	-1.67	100.036830518	39.6	50.72	59.78	67.03	78.19	85.78	97.09	Thermo group additivity estimation: group(Cs-OsHHH) + other(R) + group(Cb-(Cds-Cds)) + other(1_vinyl) + group(Cb-Os) + other(1_methoxy) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-CdsHH) + other(R) + group(Os-CsCb) + other(R) + ring(Benzene)
47-O-MeOMe	c1ccc(c(c1)C)OC	-25.09	94.3836610359	35.31	45.58	54.22	61.33	72.47	80.12	91.73	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cs-OsHHH) + other(R) + group(Cb-Cs) + other(1_Cs) + group(Cb-Os) + other(1_methoxy) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CsCb) + other(R) + ring(Benzene)
48-M-MeOMe	c1cc(cc(c1)C)OC	-25.09	94.3836610359	35.31	45.58	54.22	61.33	72.47	80.12	91.73	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cs-OsHHH) + other(R) + group(Cb-Cs) + other(1_Cs) + group(Cb-Os) + other(1_methoxy) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CsCb) + other(R) + ring(Benzene)
49-P-MeOMe	c1c(ccc(c1)C)OC	-25.09	94.3836610359	35.31	45.58	54.22	61.33	72.47	80.12	91.73	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cs-OsHHH) + other(R) + group(Cb-Cs) + other(1_Cs) + group(Cb-Os) + other(1_methoxy) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CsCb) + other(R) + ring(Benzene)
50-O-MeOEt	c1cccc(c1OC)CC	-29.95	103.723661036	41.15	53.19	63.2	71.34	83.96	92.66	105.49	Thermo group additivity estimation: group(Cs-CbCsHH) + other(R) + group(Cs-CsHHH) + other(R) + group(Cs-OsHHH) + other(R) + group(Cb-Cs) + other(1_Cs) + group(Cb-Os) + other(1_methoxy) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CsCb) + other(R) + ring(Benzene)
51-M-MeOEt	c1(cccc(c1)OC)CC	-29.95	103.723661036	41.15	53.19	63.2	71.34	83.96	92.66	105.49	Thermo group additivity estimation: group(Cs-CbCsHH) + other(R) + group(Cs-CsHHH) + other(R) + group(Cs-OsHHH) + other(R) + group(Cb-Cs) + other(1_Cs) + group(Cb-Os) + other(1_methoxy) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CsCb) + other(R) + ring(Benzene)
52-P-MeOEt	c1c(ccc(c1)CC)OC	-29.95	103.723661036	41.15	53.19	63.2	71.34	83.96	92.66	105.49	Thermo group additivity estimation: group(Cs-CbCsHH) + other(R) + group(Cs-CsHHH) + other(R) + group(Cs-OsHHH) + other(R) + group(Cb-Cs) + other(1_Cs) + group(Cb-Os) + other(1_methoxy) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CsCb) + other(R) + ring(Benzene)
53-O-ForVin	c1cccc(c1C=C)C=O	7.56	97.29	37.46	47.0	55.18	61.86	71.85	78.45	86.56	Thermo group additivity estimation: group(Cb-(Cds-Cds)) + other(1_vinyl_o_2_formyl) + group(Cb-(Cds-Od)) + other(1_formyl) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Cds-CdsHH) + other(R) + group(Od-Cd) + other(R) + ring(Benzene)
54-M-ForVin	c1cc(cc(c1)C=C)C=O	4.72	97.91	37.15	46.62	54.68	61.26	71.28	78.02	86.49	Thermo group additivity estimation: group(Cb-(Cds-Cds)) + other(1_vinyl) + group(Cb-(Cds-Od)) + other(1_formyl) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Cds-CdsHH) + other(R) + group(Od-Cd) + other(R) + ring(Benzene)
55-P-ForVin	c1(ccc(cc1)C=O)C=C	4.72	97.91	37.15	46.62	54.68	61.26	71.28	78.02	86.49	Thermo group additivity estimation: group(Cb-(Cds-Cds)) + other(1_vinyl) + group(Cb-(Cds-Od)) + other(1_formyl) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Cds-CdsHH) + other(R) + group(Od-Cd) + other(R) + ring(Benzene)
56-O-ForMe	c1ccc(c(c1)C)C=O	-16.76	91.6868305179	33.82	42.2	49.6	55.82	65.56	72.22	80.91	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cb-Cs) + other(1_Cs_o_2_formyl) + group(Cb-(Cds-Od)) + other(1_formyl) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Od-Cd) + other(R) + ring(Benzene)
57-M-ForMe	c1ccc(cc1C)C=O	-18.7	92.2568305179	32.86	41.48	49.12	55.56	65.56	72.36	81.13	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cb-Cs) + other(1_Cs) + group(Cb-(Cds-Od)) + other(1_formyl) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Od-Cd) + other(R) + ring(Benzene)
